end_time,dataset_name,optimizer,key_size_dim,VHDropout,levels,batch_size,num_epochs,lr,num_subblocks,en_res,temp_attn,loss_test,ppl_test,num_parameters_train,log_info
2020-01-10 01:27:51,char_penn,Adam,100,0,6,128,250,0.0001,1,False,True,0.055167999999999995,1.0567,4296249,tcanet_char_penn_en_res-False_blocks-1_levels-6
2020/1/10 16:42,penn,Adam,300,0,13,64,200,0.0001,1,False,True,0.32,1.38,29441200,tcanet_en_res-False_num_subblocks-1_levels-13
2020-01-10 22:55:37,penn,Adam,300,0,8,64,200,0.0001,1,False,True,0.497493,1.6446,20429200,tcanet_en_res-False_num_subblocks-1_levels-8_revise
2020-01-11 22:52:01,penn,Adam,300,0,2,64,2,0.0001,1,False,True,6.031485,416.3328,9614800,tcanet_en_res-False_num_subblocks-1_levels-2_test
2020-01-11 23:10:35,penn,Adam,300,0,2,64,2,0.0001,1,False,True,6.204618,495.0298,9614800,tcanet_en_res-False_num_subblocks-1_levels-2_test
2020-01-11 23:10:36,penn,Adam,300,0,2,64,2,0.0001,1,False,True,6.204618,495.0298,9614800,tcanet_en_res-False_num_subblocks-1_levels-2_test
2020-01-12 10:58:27,penn,Adam,300,0,4,64,200,0.0001,1,False,True,3.466383,32.0207,13219600,tcanet_en_res-False_num_subblocks-1_levels-4_v_h
2020-01-15 00:11:35,penn,Adam,300,0,4,64,200,0.0001,1,True,True,3.050549,21.1269,13219600,tcanet_seq_len-40_valid_len-40_levels-4
2020-01-15 00:31:59,penn,Adam,300,0,6,64,200,0.0001,1,True,True,1.560053,4.7591,16824400,tcanet_seq_len-40_valid_len-40_levels-6
2020-01-15 12:06:19,penn,Adam,300,0,4,64,200,0.0001,1,True,True,2.570523,13.0727,8894800,tcanet_seq_len-40_valid_len-40_levels-4_conv-False
2020-01-15 17:20:06,penn,Adam,300,0,4,64,200,0.0001,2,False,False,5.023762,151.982,14659600,tcn_num_subblocks-2_levels-4
